satellite_name,cospar_id,norad_id,object_type,status_code,owner_code,launch_date,launch_site,decay_date,period_min,inclination_deg,apogee_km,perigee_km,radar_cross_section,data_status_code,orbit_center,orbit_type,age_years,avg_altitude_km,orbit_class
VANGUARD 1,1958-002B,5,PAY,,US,1958-03-17,AFETR,,132.6,34.24,3817.0,654.0,0.122,,EA,ORB,68.06570841889118,2235.5,MEO
VANGUARD 2,1959-001A,11,PAY,,US,1959-02-17,AFETR,,120.97,32.87,2895.0,554.0,0.3931,,EA,ORB,67.14305270362765,1724.5,LEO
VANGUARD 3,1959-007A,20,PAY,,US,1959-09-18,AFETR,,123.93,33.34,3204.0,508.0,0.6412,,EA,ORB,66.55989048596851,1856.0,LEO
EXPLORER 7,1959-009A,22,PAY,,US,1959-10-13,AFETR,,94.27,50.24,538.0,428.0,0.5003,,EA,ORB,66.49144421629022,483.0,LEO
PIONEER 5,1960-001A,27,PAY,,US,1960-03-11,AFETR,,,,,,0.0008,NEA,SU,ORB,66.08076659822039,,UNKNOWN
TIROS 1,1960-002B,29,PAY,-,US,1960-04-01,AFETR,,97.38,48.38,649.0,618.0,0.803,,EA,ORB,66.02327173169063,633.5,LEO
TRANSIT 2A,1960-007A,45,PAY,,US,1960-06-22,AFETR,,100.28,66.69,952.0,591.0,0.4299,,EA,ORB,65.79876796714579,771.5,LEO
SOLRAD 1 (GREB),1960-007B,46,PAY,,US,1960-06-22,AFETR,,98.98,66.69,850.0,570.0,0.3501,,EA,ORB,65.79876796714579,710.0,LEO
COURIER 1B,1960-013A,58,PAY,,US,1960-10-04,AFETR,,106.95,28.33,1208.0,962.0,1.2843,,EA,ORB,65.51403148528405,1085.0,LEO
VENERA 1,1961-003A,80,PAY,,CIS,1961-02-12,TYMSC,,,,,,0.0039,NEA,SU,ORB,65.15537303216975,,UNKNOWN
EXPLORER 11,1961-013A,107,PAY,,US,1961-04-27,AFETR,,101.27,28.78,1174.0,463.0,0.4538,,EA,ORB,64.95277207392198,818.5,LEO
LUNA 1,1959-012A,112,PAY,,CIS,1959-01-02,TYMSC,,,,,,,NEA,SU,ORB,67.26899383983573,,UNKNOWN
PIONEER 4,1959-013A,113,PAY,,US,1959-03-03,AFETR,,,,,,,NEA,SU,ORB,67.1047227926078,,UNKNOWN
TRANSIT 4A,1961-015A,116,PAY,,US,1961-06-29,AFETR,,103.42,66.81,979.0,862.0,0.7486,,EA,ORB,64.78028747433265,920.5,LEO
SOLRAD 3 & INJUN 1,1961-015B,117,PAY,,US,1961-06-29,AFETR,,103.58,66.81,986.0,870.0,0.4239,,EA,ORB,64.78028747433265,928.0,LEO
TIROS 3,1961-017A,162,PAY,-,US,1961-07-12,AFETR,,99.63,47.9,772.0,710.0,0.8244,,EA,ORB,64.74469541409994,741.0,LEO
