owner_code,total_objects,payloads,rocket_bodies,debris,decayed,still_in_orbit,debris_ratio,decay_rate
AB,18,18,0,0,1,17,0.0,0.05555555555555555
ABS,8,8,0,0,0,8,0.0,0.0
AC,8,8,0,0,0,8,0.0,0.0
ALG,8,8,0,0,0,8,0.0,0.0
ANG,2,2,0,0,0,2,0.0,0.0
ARGN,71,70,0,1,37,34,0.014084507042253521,0.5211267605633803
ARM,1,1,0,0,1,0,0.0,1.0
ASRA,4,4,0,0,1,3,0.0,0.25
AUS,71,69,2,0,27,44,0.0,0.38028169014084506
AZER,3,3,0,0,0,3,0.0,0.0
BEL,17,17,0,0,7,10,0.0,0.4117647058823529
BELA,5,5,0,0,1,4,0.0,0.2
BGD,2,2,0,0,1,1,0.0,0.5
BHR,1,1,0,0,0,1,0.0,0.0
BHUT,1,1,0,0,1,0,0.0,1.0
BOL,1,1,0,0,0,1,0.0,0.0
BRAZ,32,32,0,0,9,23,0.0,0.28125
BUL,6,6,0,0,3,3,0.0,0.5
BWA,1,1,0,0,0,1,0.0,0.0
CA,117,109,0,8,36,81,0.06837606837606838,0.3076923076923077
CHBZ,92,5,0,87,80,12,0.9456521739130435,0.8695652173913043
CHLE,7,7,0,0,4,3,0.0,0.5714285714285714
CIS,25173,3891,3999,17257,18481,6692,0.6855360902554324,0.7341596154610098
COL,3,3,0,0,2,1,0.0,0.6666666666666666
CRI,1,1,0,0,1,0,0.0,1.0
CZCH,15,15,0,0,9,6,0.0,0.6
DEN,17,17,0,0,9,8,0.0,0.5294117647058824
DJI,2,2,0,0,1,1,0.0,0.5
ECU,2,2,0,0,0,2,0.0,0.0
EGYP,15,15,0,0,2,13,0.0,0.13333333333333333
ESA,177,128,10,39,49,128,0.22033898305084745,0.2768361581920904
ESRO,10,7,0,3,10,0,0.3,1.0
EST,2,2,0,0,1,1,0.0,0.5
ETH,1,1,0,0,0,1,0.0,0.0
EUME,20,12,0,8,0,20,0.4,0.0
EUTE,62,62,0,0,0,62,0.0,0.0
FGER,2,2,0,0,0,2,0.0,0.0
FIN,43,43,0,0,15,28,0.0,0.3488372093023256
FR,1477,152,257,1066,830,647,0.7217332430602573,0.5619498984427894
FRIT,2,2,0,0,0,2,0.0,0.0
GER,136,134,0,2,50,86,0.014705882352941176,0.36764705882352944
GHA,1,1,0,0,1,0,0.0,1.0
GLOB,86,84,0,2,1,85,0.023255813953488372,0.011627906976744186
GREC,9,9,0,0,2,7,0.0,0.2222222222222222
GRSA,1,1,0,0,0,1,0.0,0.0
GUAT,1,1,0,0,1,0,0.0,1.0
HRV,1,1,0,0,0,1,0.0,0.0
HUN,11,11,0,0,7,4,0.0,0.6363636363636364
IM,20,20,0,0,0,20,0.0,0.0
IND,767,159,80,528,570,197,0.6883963494132985,0.7431551499348109
INDO,23,23,0,0,3,20,0.0,0.13043478260869565
IRAN,36,20,10,2,20,16,0.05555555555555555,0.5555555555555556
IRAQ,1,1,0,0,0,1,0.0,0.0
IRL,1,1,0,0,1,0,0.0,1.0
ISRA,68,56,11,1,44,24,0.014705882352941176,0.6470588235294118
ISS,135,6,0,129,130,5,0.9555555555555556,0.9629629629629629
IT,127,123,2,2,46,81,0.015748031496062992,0.36220472440944884
ITSO,139,101,0,38,1,138,0.2733812949640288,0.007194244604316547
JOR,1,1,0,0,0,1,0.0,0.0
JPN,898,359,140,398,585,313,0.44320712694877507,0.6514476614699332
KAZ,9,9,0,0,2,7,0.0,0.2222222222222222
KEN,2,2,0,0,2,0,0.0,1.0
KWT,3,3,0,0,1,2,0.0,0.3333333333333333
LAOS,1,1,0,0,0,1,0.0,0.0
LKA,1,1,0,0,1,0,0.0,1.0
LTU,13,13,0,0,11,2,0.0,0.8461538461538461
LUXE,20,20,0,0,13,7,0.0,0.65
MA,4,4,0,0,0,4,0.0,0.0
MALA,14,14,0,0,2,12,0.0,0.14285714285714285
MCO,1,1,0,0,1,0,0.0,1.0
MDA,1,1,0,0,1,0,0.0,1.0
MEX,13,13,0,0,3,10,0.0,0.23076923076923078
MMR,1,1,0,0,1,0,0.0,1.0
MNE,1,1,0,0,0,1,0.0,0.0
MNG,1,1,0,0,1,0,0.0,1.0
MUS,1,1,0,0,1,0,0.0,1.0
NATO,8,8,0,0,0,8,0.0,0.0
NETH,15,15,0,0,9,6,0.0,0.6
NICO,1,1,0,0,0,1,0.0,0.0
NIG,6,6,0,0,1,5,0.0,0.16666666666666666
NKOR,8,3,3,2,6,2,0.25,0.75
NOR,27,27,0,0,2,25,0.0,0.07407407407407407
NPL,1,1,0,0,1,0,0.0,1.0
NZ,25,25,0,0,24,1,0.0,0.96
O3B,30,30,0,0,0,30,0.0,0.0
ORB,95,60,0,35,29,66,0.3684210526315789,0.30526315789473685
PAKI,12,12,0,0,1,11,0.0,0.08333333333333333
PERU,4,4,0,0,2,2,0.0,0.5
POL,23,23,0,0,14,9,0.0,0.6086956521739131
POR,4,4,0,0,1,3,0.0,0.25
PRC,8986,1765,647,6509,3103,5883,0.724348987313599,0.34531493434231025
PRY,1,1,0,0,1,0,0.0,1.0
RASC,2,2,0,0,0,2,0.0,0.0
ROC,40,38,0,2,13,27,0.05,0.325
ROM,1,1,0,0,1,0,0.0,1.0
RP,10,10,0,0,7,3,0.0,0.7
RWA,13,13,0,0,4,9,0.0,0.3076923076923077
SAFR,11,11,0,0,8,3,0.0,0.7272727272727273
SAUD,17,17,0,0,1,16,0.0,0.058823529411764705
SDN,1,1,0,0,1,0,0.0,1.0
SEAL,37,1,33,3,3,34,0.08108108108108109,0.08108108108108109
SEN,1,1,0,0,1,0,0.0,1.0
SES,69,69,0,0,1,68,0.0,0.014492753623188406
SGJP,2,2,0,0,2,0,0.0,1.0
SING,25,25,0,0,7,18,0.0,0.28
SKOR,81,76,5,0,10,71,0.0,0.12345679012345678
SLB,1,1,0,0,0,1,0.0,0.0
SPN,96,96,0,0,38,58,0.0,0.3958333333333333
STCT,2,2,0,0,0,2,0.0,0.0
SVK,3,3,0,0,2,1,0.0,0.6666666666666666
SVN,3,3,0,0,1,2,0.0,0.3333333333333333
SWED,14,14,0,0,1,13,0.0,0.07142857142857142
SWTZ,22,22,0,0,12,10,0.0,0.5454545454545454
TBD,260,197,0,0,101,159,0.0,0.38846153846153847
THAI,16,16,0,0,3,13,0.0,0.1875
TMMC,1,1,0,0,0,1,0.0,0.0
TUN,1,1,0,0,1,0,0.0,1.0
TURK,50,50,0,0,11,39,0.0,0.22
UAE,31,31,0,0,9,22,0.0,0.2903225806451613
UGA,1,1,0,0,1,0,0.0,1.0
UK,754,749,1,4,33,721,0.005305039787798408,0.04376657824933687
UKR,10,10,0,0,4,6,0.0,0.4
URY,1,1,0,0,0,1,0.0,0.0
US,27583,16319,1630,9625,10388,17195,0.34894681506725156,0.3766087807707646
USBZ,1,1,0,0,0,1,0.0,0.0
VAT,1,1,0,0,1,0,0.0,1.0
VENZ,3,3,0,0,0,3,0.0,0.0
VTNM,6,6,0,0,3,3,0.0,0.5
ZWE,2,2,0,0,2,0,0.0,1.0
