operator,total_historical,compliant_count,non_compliant_count,raw_reliability,reliability_score,confidence
ITSO,63,0,63,0.0,0.030015465381742434,high
GLOB,57,0,57,0.0,0.033017011919916676,high
EUTE,29,0,29,0.0,0.06190689734984377,high
ORB,45,1,44,0.022222222222222223,0.062104598233229176,high
SES,28,1,27,0.03571428571428571,0.09616195855467743,high
RP,7,0,7,0.0,0.19810207151950004,medium
INDO,10,1,9,0.1,0.22930928578423082,high
NATO,5,0,5,0.0,0.24762758939937507,medium
IM,5,0,5,0.0,0.24762758939937507,medium
DEN,13,2,11,0.15384615384615385,0.24881379469968753,high
ESA,47,11,36,0.23404255319148937,0.25962041430390004,high
JPN,217,56,161,0.25806451612903225,0.26355009415997727,high
AB,8,1,7,0.125,0.2710018831995455,medium
EUME,4,0,4,0.0,0.2830029593135715,medium
MALA,7,1,6,0.14285714285714285,0.2981020715195001,medium
UK,43,12,31,0.27906976744186046,0.30393523293902175,high
FR,59,17,42,0.288135593220339,0.306145495406371,high
VTNM,3,0,3,0.0,0.3301701191991668,medium
KAZ,3,0,3,0.0,0.3301701191991668,medium
NIG,3,0,3,0.0,0.3301701191991668,medium
PERU,3,0,3,0.0,0.3301701191991668,medium
GREC,3,0,3,0.0,0.3301701191991668,medium
ABS,3,0,3,0.0,0.3301701191991668,medium
EGYP,6,1,5,0.16666666666666666,0.3312245239105556,medium
NOR,9,2,7,0.2222222222222222,0.33175172626625005,medium
SKOR,15,4,11,0.26666666666666666,0.3322789286219445,high
IND,79,26,53,0.3291139240506329,0.34123195994140243,high
BRAZ,16,5,11,0.3125,0.367422142905,high
SING,10,3,7,0.3,0.3831554396303847,high
NKOR,2,0,2,0.0,0.3962041430390001,low
ASRA,2,0,2,0.0,0.3962041430390001,low
AC,2,0,2,0.0,0.3962041430390001,low
CHBZ,2,0,2,0.0,0.3962041430390001,low
SWED,2,0,2,0.0,0.3962041430390001,low
SAFR,9,3,6,0.3333333333333333,0.4150850595995834,medium
PAKI,4,1,3,0.25,0.42586010217071435,medium
MEX,6,2,4,0.3333333333333333,0.44233563502166673,medium
