operator,total_historical,compliant_count,non_compliant_count,raw_compliance_rate,compliance_rate_smoothed,total_objects,inactive_on_orbit,inactive_ratio,operator_source,compliance_component,debris_component,reliability_score,confidence,reliability_tier,operator_display
glob,52,0,52,0.0,0.03601855845809092,52,52,1.0,satcat_owner_code,2.5212990920663643,0.0,2.5,high,low,Glob
itso,59,0,59,0.0,0.0319519470192742,64,58,0.90625,satcat_owner_code,2.236636291349194,2.8125,5.0,high,low,Itso
eute,25,0,25,0.0,0.07075073982839288,27,25,0.9259259259259259,satcat_owner_code,4.952551787987502,2.2222222222222223,7.2,high,low,Eute
orb,25,1,24,0.04,0.10646502554267859,25,24,0.96,satcat_owner_code,7.452551787987501,1.200000000000001,8.7,high,low,Orb
ses,21,1,20,0.047619047619047616,0.12420919646645835,22,20,0.9090909090909091,satcat_owner_code,8.694643752652084,2.7272727272727284,11.4,high,low,Ses
national space program office nspouniversity corporation for atmospheric research ucar boulder co,5,0,5,0.0,0.24762758939937507,5,5,1.0,ucs_operator,17.333931257956255,0.0,17.3,medium,low,National Space Program Office Nspouniversity Corporation For Atmospheric Research Ucar Boulder Co
orbcomm inc,20,0,20,0.0,0.08613133544326089,35,20,0.5714285714285714,ucs_operator,6.029193481028262,12.857142857142858,18.9,high,low,Orbcomm Inc
dga arms procurement agencycentre national detudes spatiales cnes,4,0,4,0.0,0.2830029593135715,4,4,1.0,ucs_operator,19.810207151950006,0.0,19.8,medium,low,Dga Arms Procurement Agencycentre National Detudes Spatiales Cnes
panamsat intelsat sa,7,0,7,0.0,0.19810207151950004,9,7,0.7777777777777778,ucs_operator,13.867145006365003,6.666666666666666,20.5,medium,low,Panamsat Intelsat Sa
abs,3,0,3,0.0,0.3301701191991668,3,3,1.0,satcat_owner_code,23.111908343941675,0.0,23.1,medium,low,Abs
ab,8,1,7,0.125,0.2710018831995455,9,7,0.7777777777777778,satcat_owner_code,18.970131823968185,6.666666666666666,25.6,medium,low,Ab
im,5,0,5,0.0,0.24762758939937507,7,5,0.7142857142857143,satcat_owner_code,17.333931257956255,8.571428571428571,25.9,medium,low,Im
copernicus land and marine environment services,2,0,2,0.0,0.3962041430390001,2,2,1.0,ucs_operator,27.734290012730007,0.0,27.7,low,low,Copernicus Land And Marine Environment Services
ministry of defensegeneral delegation for ordnance dga,2,0,2,0.0,0.3962041430390001,2,2,1.0,ucs_operator,27.734290012730007,0.0,27.7,low,low,Ministry Of Defensegeneral Delegation For Ordnance Dga
norwegian coastal admnistration,2,0,2,0.0,0.3962041430390001,2,2,1.0,ucs_operator,27.734290012730007,0.0,27.7,low,low,Norwegian Coastal Admnistration
nato,5,0,5,0.0,0.24762758939937507,8,5,0.625,satcat_owner_code,17.333931257956255,11.25,28.6,medium,low,Nato
braz,10,0,10,0.0,0.1523862088611539,17,6,0.35294117647058826,satcat_owner_code,10.667034620280772,19.41176470588235,30.1,high,low,Braz
ca,23,1,22,0.043478260869565216,0.11465464289211541,51,13,0.2549019607843137,satcat_owner_code,8.025825002448078,22.352941176470587,30.4,high,low,Ca
mala,6,0,6,0.0,0.22011341279944452,10,5,0.5,satcat_owner_code,15.407938895961117,15.0,30.4,medium,low,Mala
national oceanographic and atmospheric administration noaa part of international program,3,0,3,0.0,0.3301701191991668,4,3,0.75,ucs_operator,23.111908343941675,7.5,30.6,medium,low,National Oceanographic And Atmospheric Administration Noaa Part Of International Program
den,8,0,8,0.0,0.1800927922904546,11,4,0.36363636363636365,satcat_owner_code,12.606495460331823,19.09090909090909,31.7,medium,low,Den
egyp,5,0,5,0.0,0.24762758939937507,8,4,0.5,satcat_owner_code,17.333931257956255,15.0,32.3,medium,low,Egyp
indo,10,1,9,0.1,0.22930928578423082,16,7,0.4375,satcat_owner_code,16.051650004896157,16.875,32.9,high,low,Indo
nig,3,0,3,0.0,0.3301701191991668,3,2,0.6666666666666666,satcat_owner_code,23.111908343941675,10.000000000000002,33.1,medium,low,Nig
changchun institute of optics,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Changchun Institute Of Optics
ministry of defensextar,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Ministry Of Defensextar
ury,1,0,1,0.0,0.49525517879875014,1,1,1.0,satcat_owner_code,34.66786251591251,0.0,34.7,low,low,Ury
stct,1,0,1,0.0,0.49525517879875014,1,1,1.0,satcat_owner_code,34.66786251591251,0.0,34.7,low,low,Stct
institute of space and astronautical science isasnasaesa,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Institute Of Space And Astronautical Science Isasnasaesa
astro space center of moscowrussian academy of sciences,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Astro Space Center Of Moscowrussian Academy Of Sciences
astrotech sohla,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Astrotech Sohla
centre national detudes spatiales cnesnasa,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Centre National Detudes Spatiales Cnesnasa
echostar satellite services llcintelsat,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Echostar Satellite Services Llcintelsat
national aeronautics and space administration nasacolorado state university,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,National Aeronautics And Space Administration Nasacolorado State University
centre national detudes spatiales cnes,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Centre National Detudes Spatiales Cnes
university of texas  austin,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,University Of Texas  Austin
skobeltsyn institute of nuclear physics,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Skobeltsyn Institute Of Nuclear Physics
mobile satellite ventures,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Mobile Satellite Ventures
exseed space,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Exseed Space
venz,1,0,1,0.0,0.49525517879875014,1,1,1.0,satcat_owner_code,34.66786251591251,0.0,34.7,low,low,Venz
est,1,0,1,0.0,0.49525517879875014,1,1,1.0,satcat_owner_code,34.66786251591251,0.0,34.7,low,low,Est
usbz,1,0,1,0.0,0.49525517879875014,1,1,1.0,satcat_owner_code,34.66786251591251,0.0,34.7,low,low,Usbz
algerian space agency asaluk space agency,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Algerian Space Agency Asaluk Space Agency
hughes space and communications co,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Hughes Space And Communications Co
col,1,0,1,0.0,0.49525517879875014,1,1,1.0,satcat_owner_code,34.66786251591251,0.0,34.7,low,low,Col
hisdesatministry of defense,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,Hisdesatministry Of Defense
european space operations centre esocnasarussia,1,0,1,0.0,0.49525517879875014,1,1,1.0,ucs_operator,34.66786251591251,0.0,34.7,low,low,European Space Operations Centre Esocnasarussia
rasc,1,0,1,0.0,0.49525517879875014,1,1,1.0,satcat_owner_code,34.66786251591251,0.0,34.7,low,low,Rasc
ang,1,0,1,0.0,0.49525517879875014,1,1,1.0,satcat_owner_code,34.66786251591251,0.0,34.7,low,low,Ang
